sl.no,date,price
01,01/01/2023,82.7501
02,02/01/2023,82.7063
03,03/01/2023,82.7860
04,04/01/2023,82.6668
05,05/01/2023,82.6455
06,06/01/2023,82.2736
07,07/01/2023,82.2737
08,08/01/2023,82.2737
09,09/01/2023,82.1805
10,10/01/2023,81.6377
11,11/01/2023,81.6321
12,12/01/2023,81.1159
13,13/01/2023,81.2851
14,14/01/2023,81.2855
15,15/01/2023,81.2855
16,16/01/2023,81.6529
17,17/01/2023,81.5265
18,18/01/2023,81.4363
19,19/01/2023,81.2401
20,20/01/2023,80.9763
21,21/01/2023,80.9763
22,22/01/2023,80.9763
23,23/01/2023,81.4884
24,24/01/2023,81.6022
25,25/01/2023,81.5030
26,26/01/2023,81.4454
27,27/01/2023,81.5146
28,28/01/2023,81.5155
29,29/01/2023,81.5155
30,30/01/2023,81.5802
31,31/01/2023,81.7687
32,01/02/2023,81.7106
33,02/02/2023,82.0464
34,03/02/2023,82.4916
35,04/02/2023,82.2335
36,05/02/2023,82.2335
37,06/02/2023,82.7553
